pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
257.430000,689.150000,288.830000,617.220000,306.190000,551.100000,330.820000,478.070000,349.160000,396.890000,366.300000,312.880000,248.560000,587.740000,245.720000,485.820000,248.140000,399.220000,259.620000,322.280000,368.910000,226.930000
262.150000,691.350000,293.000000,619.090000,310.240000,552.570000,335.190000,478.090000,352.280000,396.710000,368.080000,312.740000,251.830000,589.330000,247.350000,486.760000,249.580000,400.160000,260.140000,322.900000,370.130000,226.860000
264.890000,693.320000,295.750000,620.950000,313.170000,553.950000,338.540000,478.200000,355.000000,396.460000,369.560000,312.600000,254.140000,590.960000,248.950000,487.770000,250.890000,401.100000,260.880000,323.390000,371.070000,226.850000
266.130000,694.980000,297.140000,622.340000,315.030000,555.040000,340.430000,478.750000,357.220000,396.190000,370.810000,312.440000,255.670000,592.190000,250.230000,488.540000,251.940000,401.970000,261.570000,324.050000,371.860000,226.880000
266.690000,696.190000,298.120000,623.300000,316.130000,555.990000,342.030000,479.030000,358.330000,396.300000,371.520000,312.610000,256.600000,593.110000,251.300000,489.030000,252.900000,402.760000,262.030000,324.730000,372.390000,227.000000
266.920000,697.070000,298.660000,623.970000,316.820000,556.730000,343.100000,479.320000,359.370000,396.290000,372.020000,312.810000,257.140000,593.760000,251.990000,489.680000,253.650000,403.300000,262.670000,325.110000,372.910000,227.080000
267.020000,697.730000,298.930000,624.670000,317.580000,557.150000,343.780000,479.690000,359.710000,396.560000,372.620000,312.850000,257.670000,594.140000,252.700000,489.950000,254.110000,403.790000,263.010000,325.660000,373.250000,227.170000
267.120000,698.150000,299.150000,625.050000,317.850000,557.750000,344.420000,479.920000,360.000000,396.820000,372.980000,312.920000,257.950000,594.730000,253.090000,490.210000,254.730000,404.030000,263.240000,325.940000,373.610000,227.250000
267.160000,698.850000,299.300000,625.670000,318.170000,558.170000,344.940000,480.120000,360.330000,396.950000,373.340000,313.010000,258.180000,595.050000,253.650000,490.490000,255.050000,404.330000,263.720000,326.180000,373.860000,227.350000
267.250000,699.140000,299.580000,625.950000,318.180000,558.740000,345.200000,480.340000,360.960000,396.950000,373.770000,313.040000,258.390000,595.300000,253.850000,490.940000,255.270000,404.850000,263.880000,326.430000,373.970000,227.490000
267.290000,699.670000,300.010000,626.070000,318.500000,558.910000,345.800000,480.390000,361.460000,396.940000,373.890000,313.120000,258.740000,595.720000,254.050000,491.100000,255.690000,405.010000,264.010000,326.860000,374.000000,227.720000
267.440000,699.870000,300.170000,626.260000,318.970000,559.000000,345.900000,480.630000,361.660000,397.010000,374.010000,313.220000,258.930000,595.900000,254.230000,491.310000,255.900000,405.170000,264.110000,327.020000,374.090000,227.870000
267.710000,699.980000,300.330000,626.410000,319.140000,559.140000,346.020000,480.790000,361.860000,397.080000,374.080000,313.320000,259.060000,596.000000,254.310000,491.730000,256.020000,405.390000,264.190000,327.180000,374.140000,227.920000
267.830000,700.070000,300.360000,626.730000,319.210000,559.300000,346.120000,480.910000,361.910000,397.110000,374.130000,313.410000,259.180000,596.130000,254.460000,491.880000,256.120000,405.820000,264.290000,327.360000,374.220000,227.990000
267.900000,700.170000,300.480000,626.860000,319.290000,559.430000,346.180000,480.990000,361.950000,397.200000,374.080000,313.640000,259.280000,596.230000,254.810000,491.920000,256.210000,405.940000,264.350000,327.740000,374.260000,228.110000
267.980000,700.290000,300.910000,626.810000,319.280000,559.660000,346.280000,481.030000,362.020000,397.230000,374.150000,313.730000,259.380000,596.320000,254.910000,492.010000,256.310000,406.040000,264.440000,327.870000,374.320000,228.160000
268.040000,700.370000,300.990000,626.880000,319.400000,559.730000,346.350000,481.080000,362.060000,397.290000,374.170000,313.790000,259.520000,596.450000,255.000000,492.090000,256.420000,406.150000,264.660000,327.960000,374.330000,228.210000
268.050000,700.470000,301.030000,626.920000,319.460000,559.800000,346.450000,481.110000,362.060000,397.360000,374.180000,313.830000,259.700000,596.700000,255.050000,492.170000,256.630000,406.220000,264.700000,328.050000,374.380000,228.310000
268.000000,700.770000,301.040000,626.990000,319.780000,559.730000,346.790000,481.030000,362.050000,397.430000,374.180000,313.880000,259.720000,596.770000,255.090000,492.240000,256.680000,406.310000,264.730000,328.130000,374.370000,228.360000
268.010000,700.820000,301.060000,627.020000,319.800000,559.780000,346.830000,481.050000,362.070000,397.440000,374.200000,313.910000,259.750000,596.820000,255.120000,492.300000,256.730000,406.390000,264.750000,328.190000,374.370000,228.390000
268.010000,700.860000,301.080000,627.060000,319.840000,559.820000,346.850000,481.110000,362.020000,397.540000,374.210000,313.950000,259.780000,596.870000,255.150000,492.380000,256.770000,406.490000,264.780000,328.250000,374.340000,228.490000
268.020000,700.910000,301.100000,627.100000,319.870000,559.880000,346.890000,481.130000,362.030000,397.630000,374.240000,313.980000,259.800000,596.890000,255.170000,492.470000,256.800000,406.790000,264.800000,328.330000,374.320000,228.660000
268.020000,700.940000,301.110000,627.130000,319.880000,559.920000,346.900000,481.150000,362.040000,397.650000,374.260000,313.990000,259.830000,596.920000,255.130000,492.750000,256.830000,406.840000,264.800000,328.370000,374.340000,228.710000
