pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
373.160000,29.990000,357.060000,97.850000,354.960000,173.800000,340.850000,261.410000,317.930000,353.230000,289.230000,454.110000,271.860000,492.910000,225.240000,585.140000
373.160000,30.000000,357.060000,97.850000,354.950000,173.790000,340.850000,261.410000,317.920000,353.220000,289.220000,454.090000,271.850000,492.920000,225.240000,585.130000
373.160000,30.000000,357.060000,97.850000,354.950000,173.780000,340.840000,261.400000,317.920000,353.230000,289.210000,454.090000,271.840000,492.910000,225.240000,585.130000
373.160000,30.000000,357.060000,97.850000,354.950000,173.790000,340.840000,261.400000,317.920000,353.220000,289.210000,454.090000,271.840000,492.910000,225.240000,585.130000
373.150000,29.990000,357.070000,97.850000,354.940000,173.780000,340.840000,261.400000,317.920000,353.220000,289.220000,454.080000,271.840000,492.910000,225.230000,585.120000
373.150000,29.980000,357.070000,97.870000,354.930000,173.780000,340.840000,261.400000,317.910000,353.220000,289.210000,454.070000,271.830000,492.900000,225.230000,585.120000
373.150000,29.980000,357.070000,97.870000,354.930000,173.750000,340.840000,261.400000,317.910000,353.220000,289.200000,454.080000,271.820000,492.890000,225.230000,585.120000
373.150000,29.980000,357.070000,97.870000,354.920000,173.750000,340.830000,261.380000,317.900000,353.200000,289.200000,454.080000,271.810000,492.870000,225.230000,585.120000
373.090000,29.960000,356.950000,97.890000,354.860000,173.810000,340.710000,261.320000,317.860000,353.160000,289.150000,454.040000,271.830000,492.840000,225.250000,585.070000
373.080000,29.900000,356.970000,97.870000,354.850000,173.800000,340.700000,261.320000,317.850000,353.160000,289.150000,454.040000,271.820000,492.860000,225.230000,585.080000
373.090000,29.940000,356.980000,97.850000,354.850000,173.800000,340.700000,261.320000,317.850000,353.150000,289.150000,454.050000,271.820000,492.840000,225.230000,585.080000
373.090000,29.940000,356.980000,97.850000,354.850000,173.800000,340.700000,261.320000,317.850000,353.150000,289.150000,454.050000,271.820000,492.840000,225.230000,585.080000
373.090000,29.940000,356.980000,97.850000,354.850000,173.800000,340.690000,261.320000,317.840000,353.150000,289.140000,454.050000,271.820000,492.840000,225.230000,585.090000
373.090000,29.940000,357.020000,97.860000,354.840000,173.800000,340.680000,261.320000,317.830000,353.150000,289.140000,454.050000,271.820000,492.840000,225.230000,585.080000
373.100000,29.960000,357.040000,97.860000,354.810000,173.790000,340.680000,261.320000,317.820000,353.140000,289.130000,454.060000,271.820000,492.840000,225.240000,585.080000
373.100000,29.960000,356.970000,97.850000,354.850000,173.800000,340.700000,261.340000,317.810000,353.150000,289.120000,454.070000,271.830000,492.840000,225.240000,585.080000
373.100000,29.960000,356.970000,97.840000,354.830000,173.800000,340.700000,261.340000,317.800000,353.130000,289.070000,453.990000,271.820000,492.830000,225.240000,585.080000
373.080000,29.940000,357.000000,97.860000,354.820000,173.800000,340.630000,261.310000,317.800000,353.130000,289.070000,454.030000,271.840000,492.840000,225.240000,585.070000
373.080000,29.950000,356.980000,97.820000,354.820000,173.800000,340.630000,261.310000,317.790000,353.130000,289.060000,454.030000,271.840000,492.840000,225.240000,585.070000
373.080000,29.950000,356.970000,97.820000,354.800000,173.790000,340.620000,261.300000,317.790000,353.130000,289.070000,454.040000,271.840000,492.840000,225.250000,585.070000
373.080000,29.950000,356.970000,97.820000,354.780000,173.800000,340.610000,261.300000,317.790000,353.140000,289.070000,454.040000,271.840000,492.820000,225.250000,585.070000
373.050000,30.010000,356.880000,97.880000,354.710000,173.750000,340.550000,261.300000,317.720000,353.120000,289.060000,454.020000,271.820000,492.780000,225.270000,585.060000
373.050000,30.010000,356.870000,97.840000,354.710000,173.750000,340.550000,261.300000,317.710000,353.120000,289.070000,453.990000,271.830000,492.780000,225.270000,585.060000
373.040000,29.970000,356.860000,97.830000,354.710000,173.750000,340.540000,261.300000,317.720000,353.120000,289.070000,453.990000,271.820000,492.770000,225.270000,585.060000
373.040000,30.000000,356.860000,97.830000,354.710000,173.750000,340.540000,261.300000,317.680000,353.120000,289.060000,454.000000,271.820000,492.750000,225.270000,585.060000
