pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
473.990000,702.070000,0.000000,0.000000
474.000000,702.100000,0.000000,0.000000
474.000000,702.130000,0.000000,0.000000
473.960000,702.160000,0.000000,0.000000
473.980000,702.150000,0.000000,0.000000
473.980000,702.140000,0.000000,0.000000
473.980000,702.230000,0.000000,0.000000
473.990000,702.270000,0.000000,0.000000
473.940000,702.350000,0.000000,0.000000
473.920000,702.340000,0.000000,0.000000
473.920000,702.380000,0.000000,0.000000
473.900000,702.450000,0.000000,0.000000
473.860000,702.590000,0.000000,0.000000
473.830000,702.640000,0.000000,0.000000
473.850000,702.670000,0.000000,0.000000
473.820000,702.690000,0.000000,0.000000
473.830000,702.700000,0.000000,0.000000
473.820000,702.750000,0.000000,0.000000
473.850000,702.770000,0.000000,0.000000
473.860000,702.830000,0.000000,0.000000
473.830000,702.800000,0.000000,0.000000
473.810000,702.780000,0.000000,0.000000
473.820000,702.770000,0.000000,0.000000
473.820000,702.860000,0.000000,0.000000
473.830000,702.930000,0.000000,0.000000
473.830000,702.960000,0.000000,0.000000
473.800000,702.930000,0.000000,0.000000
473.830000,702.920000,0.000000,0.000000
473.780000,702.940000,0.000000,0.000000
473.800000,702.960000,0.000000,0.000000
473.830000,702.980000,0.000000,0.000000
473.820000,702.980000,0.000000,0.000000
473.770000,703.020000,0.000000,0.000000
473.770000,703.000000,0.000000,0.000000
473.770000,703.000000,0.000000,0.000000
473.780000,703.000000,0.000000,0.000000
473.770000,703.010000,0.000000,0.000000
473.770000,703.050000,0.000000,0.000000
473.770000,703.050000,0.000000,0.000000
473.740000,703.000000,0.000000,0.000000
473.760000,702.990000,0.000000,0.000000
473.760000,703.040000,0.000000,0.000000
473.780000,703.050000,0.000000,0.000000
473.750000,703.030000,0.000000,0.000000
473.750000,703.030000,0.000000,0.000000
473.730000,703.050000,0.000000,0.000000
473.730000,703.050000,0.000000,0.000000
473.740000,703.050000,0.000000,0.000000
473.760000,703.060000,0.000000,0.000000
473.760000,703.130000,0.000000,0.000000
473.700000,703.090000,0.000000,0.000000
473.720000,703.040000,0.000000,0.000000
473.710000,703.020000,0.000000,0.000000
473.750000,703.080000,0.000000,0.000000
473.730000,703.070000,0.000000,0.000000
473.740000,703.050000,0.000000,0.000000
473.740000,703.030000,0.000000,0.000000
473.740000,703.040000,0.000000,0.000000
473.740000,703.040000,0.000000,0.000000
473.760000,703.030000,0.000000,0.000000
473.770000,703.010000,0.000000,0.000000
473.770000,702.950000,0.000000,0.000000
473.790000,702.870000,0.000000,0.000000
473.820000,702.840000,0.000000,0.000000
473.850000,702.780000,0.000000,0.000000
473.860000,702.710000,0.000000,0.000000
473.890000,702.730000,0.000000,0.000000
473.860000,702.700000,0.000000,0.000000
473.920000,702.480000,0.000000,0.000000
473.960000,702.200000,0.000000,0.000000
473.960000,702.180000,0.000000,0.000000
473.970000,702.180000,0.000000,0.000000
473.940000,702.120000,0.000000,0.000000
473.930000,702.040000,0.000000,0.000000
473.940000,702.020000,0.000000,0.000000
473.950000,702.030000,0.000000,0.000000
473.940000,701.990000,0.000000,0.000000
473.930000,701.980000,0.000000,0.000000
473.940000,701.990000,0.000000,0.000000
473.930000,701.970000,0.000000,0.000000
473.920000,701.930000,0.000000,0.000000
473.940000,701.890000,0.000000,0.000000
473.930000,701.920000,0.000000,0.000000
473.940000,701.940000,0.000000,0.000000
473.920000,701.910000,0.000000,0.000000
473.890000,701.880000,0.000000,0.000000
473.910000,701.870000,0.000000,0.000000
473.910000,701.890000,0.000000,0.000000
473.930000,701.890000,0.000000,0.000000
473.910000,701.870000,0.000000,0.000000
473.900000,701.870000,0.000000,0.000000
473.900000,701.850000,0.000000,0.000000
473.930000,701.870000,0.000000,0.000000
473.930000,701.870000,0.000000,0.000000
473.940000,701.880000,0.000000,0.000000
473.910000,701.880000,0.000000,0.000000
473.910000,701.880000,0.000000,0.000000
473.880000,701.860000,0.000000,0.000000
473.900000,701.860000,0.000000,0.000000
473.920000,701.880000,0.000000,0.000000
473.970000,701.960000,0.000000,0.000000
473.930000,702.000000,0.000000,0.000000
473.940000,701.980000,0.000000,0.000000
473.920000,701.980000,0.000000,0.000000
473.880000,702.070000,0.000000,0.000000
473.900000,702.090000,0.000000,0.000000
473.880000,702.140000,0.000000,0.000000
473.850000,702.180000,0.000000,0.000000
473.830000,702.190000,0.000000,0.000000
473.830000,702.200000,0.000000,0.000000
473.840000,702.260000,0.000000,0.000000
473.830000,702.290000,0.000000,0.000000
473.790000,702.420000,0.000000,0.000000
473.750000,702.560000,0.000000,0.000000
473.740000,702.570000,0.000000,0.000000
473.760000,702.590000,0.000000,0.000000
473.750000,702.690000,0.000000,0.000000
473.760000,702.800000,0.000000,0.000000
473.750000,702.840000,0.000000,0.000000
473.760000,702.840000,0.000000,0.000000
473.720000,702.780000,0.000000,0.000000
473.720000,702.860000,0.000000,0.000000
473.700000,702.940000,0.000000,0.000000
473.650000,703.000000,0.000000,0.000000
473.690000,703.020000,0.000000,0.000000
473.650000,703.070000,0.000000,0.000000
473.630000,703.070000,0.000000,0.000000
473.660000,703.070000,0.000000,0.000000
473.730000,703.110000,0.000000,0.000000
473.690000,703.200000,0.000000,0.000000
473.620000,703.260000,0.000000,0.000000
473.610000,703.240000,0.000000,0.000000
473.590000,703.200000,0.000000,0.000000
473.640000,703.210000,0.000000,0.000000
473.660000,703.310000,0.000000,0.000000
473.670000,703.340000,0.000000,0.000000
473.640000,703.320000,0.000000,0.000000
473.550000,703.340000,0.000000,0.000000
472.870000,703.480000,0.000000,0.000000
472.070000,703.840000,0.000000,0.000000
471.390000,703.940000,0.000000,0.000000
471.380000,703.990000,0.000000,0.000000
471.350000,704.030000,0.000000,0.000000
471.370000,704.020000,0.000000,0.000000
471.360000,704.000000,0.000000,0.000000
471.340000,704.030000,0.000000,0.000000
471.380000,704.040000,0.000000,0.000000
471.370000,704.070000,0.000000,0.000000
471.370000,704.050000,0.000000,0.000000
471.370000,704.050000,0.000000,0.000000
471.360000,704.040000,0.000000,0.000000
471.380000,704.060000,0.000000,0.000000
471.490000,704.070000,0.000000,0.000000
472.090000,703.990000,0.000000,0.000000
472.770000,703.900000,0.000000,0.000000
472.790000,703.890000,0.000000,0.000000
472.780000,703.860000,0.000000,0.000000
472.810000,703.850000,0.000000,0.000000
472.800000,703.850000,0.000000,0.000000
472.790000,703.860000,0.000000,0.000000
472.770000,703.830000,0.000000,0.000000
472.780000,703.720000,0.000000,0.000000
472.820000,703.610000,0.000000,0.000000
472.830000,703.620000,0.000000,0.000000
472.830000,703.660000,0.000000,0.000000
472.900000,703.510000,0.000000,0.000000
472.970000,703.220000,0.000000,0.000000
472.940000,703.110000,0.000000,0.000000
472.940000,703.060000,0.000000,0.000000
472.920000,702.960000,0.000000,0.000000
472.990000,702.830000,0.000000,0.000000
472.970000,702.780000,0.000000,0.000000
473.030000,702.630000,0.000000,0.000000
473.070000,702.340000,0.000000,0.000000
473.080000,702.190000,0.000000,0.000000
473.110000,702.100000,0.000000,0.000000
473.070000,702.110000,0.000000,0.000000
